3MINDIA,ASHOKLEY,BAJFINANCE,BHARATFORG,GAIL,GMRINFRA,HDFCBANK,HINDPETRO,HINDUNILVR,IOC,ITC,JINDALSTEL,JSWSTEEL,JUBILANT,LT,M&M,MINDTREE,NMDC,PFC,RAJESHEXPO,RELAXO,RELIANCE,SBIN,SHREECEM,SUNTV,TATASTEEL,TCS,ULTRACEMCO,VOLTAS,WIPRO
0.00130318,0.000945129,0.00240627,0.00132436,0.0016529,9.64E-05,0.00167216,0.00275759,0.000918022,0.00223937,0.000682833,0.000352691,0.00698053,0.00102806,0.000717943,0.00127537,0.00127876,0.000115505,0.000748386,0.00137862,0.00264355,0.000662307,0.000417176,0.00140726,0.000697859,0.000472783,0.00131904,0.000880565,0.00119849,0.00136315
0.000407156,0.000137176,0.000110032,9.37E-05,6.72E-05,0.000123099,6.20E-05,6.09E-05,3.46E-05,4.91E-05,5.38E-05,0.000144928,0.000104786,9.54E-05,0.000101381,9.39E-05,6.43E-05,9.16E-05,0.000105105,7.28E-05,8.11E-05,7.23E-05,0.000114622,6.04E-05,9.77E-05,0.000126124,4.00E-05,8.29E-05,0.000127139,3.96E-05
0.000137176,0.000712894,0.000223836,0.00024908,0.000112998,0.000286494,0.000128815,0.000179796,6.40E-05,0.000121976,6.96E-05,0.00030746,0.000252527,0.000201022,0.00023665,0.000205063,8.42E-05,0.000215254,0.000242152,0.000120654,0.00014771,0.000161044,0.000262715,0.000127251,0.000202891,0.000276469,5.38E-05,0.000167686,0.000271222,4.91E-05
0.000110032,0.000223836,0.000627611,0.000157995,3.98E-05,0.000214278,0.000102907,8.77E-05,7.74E-05,4.40E-05,5.63E-05,0.000236629,0.000136972,0.000147259,0.000146036,0.000129515,9.41E-05,0.000162323,0.000178119,0.000123458,0.000120218,0.00012578,0.000199167,0.000127079,0.000182347,0.000201825,5.87E-05,0.000153282,0.000217558,1.36E-05
9.37E-05,0.00024908,0.000157995,0.0014658,0.00223783,0.000218343,0.00104573,0.00297556,5.91E-05,0.00256732,0.000552308,0.000270953,0.00714045,0.000185564,0.000669788,0.00107004,8.27E-05,0.000231531,0.00111155,0.000100332,0.000126817,0.000148653,0.00019322,0.000105396,0.000194364,0.000277183,7.04E-05,0.000137532,0.00018216,0.00150613
6.72E-05,0.000112998,3.98E-05,0.00223783,0.00556856,0.000163782,0.00219617,0.00710427,4.01E-05,0.00627155,0.00117002,0.000161788,0.0174064,0.000110198,0.00122227,0.00236197,2.03E-05,0.000234109,0.00227296,4.13E-05,5.71E-05,0.000120602,0.000121714,6.80E-05,0.000105514,0.000261406,0.000187728,0.000103976,0.000100771,0.00348817
0.000123099,0.000286494,0.000214278,0.000218343,0.000163782,0.000870652,0.000146723,0.000187564,6.73E-05,0.000133092,9.64E-05,0.000404238,0.000300609,0.000209635,0.000240416,0.000163775,0.000104689,0.000238082,0.000319922,0.000135184,0.000130235,0.000205027,0.000298924,0.000136442,0.000251001,0.000317398,5.67E-05,0.000177915,0.000292076,6.25E-05
6.20E-05,0.000128815,0.000102907,0.00104573,0.00219617,0.000146723,0.00206541,0.00293217,5.77E-05,0.00251026,0.000552147,0.000148594,0.00703002,0.000134451,0.00064766,0.00103468,2.82E-05,0.000150921,0.001024,4.69E-05,7.54E-05,0.000118709,0.000136126,7.90E-05,0.000110097,0.000175935,4.90E-05,0.000101923,0.000128243,0.00148708
6.09E-05,0.000179796,8.77E-05,0.00297556,0.00710427,0.000187564,0.00293217,0.0100141,5.28E-05,0.00845173,0.00153217,0.000182839,0.0236739,0.000137025,0.00159675,0.00292332,7.02E-08,0.000312434,0.00303454,3.81E-05,7.16E-05,0.000135047,0.000162307,9.00E-05,0.000134957,0.000284479,3.24E-07,0.000135763,0.000111823,0.00464103
3.46E-05,6.40E-05,7.74E-05,5.91E-05,4.01E-05,6.73E-05,5.77E-05,5.28E-05,0.00024387,2.83E-05,7.22E-05,9.52E-05,6.12E-05,5.53E-05,6.83E-05,6.19E-05,5.36E-05,4.20E-05,5.47E-05,1.98E-05,3.45E-05,7.49E-05,6.63E-05,6.58E-05,6.43E-05,7.70E-05,5.17E-05,6.55E-05,6.34E-05,4.58E-05
4.91E-05,0.000121976,4.40E-05,0.00256732,0.00627155,0.000133092,0.00251026,0.00845173,2.83E-05,0.00783753,0.00131968,0.000117226,0.0203145,0.000104596,0.00137045,0.00297407,6.48E-07,0.000248075,0.00261623,9.82E-06,5.07E-05,0.000107478,0.000105052,6.85E-05,9.19E-05,0.000249891,0.000454343,9.42E-05,6.44E-05,0.00401018
5.38E-05,6.96E-05,5.63E-05,0.000552308,0.00117002,9.64E-05,0.000552147,0.00153217,7.22E-05,0.00131968,0.0005255,0.000102195,0.00359264,7.67E-05,0.000340908,0.000554387,2.88E-05,0.000104581,0.000561959,4.07E-05,4.90E-05,7.31E-05,8.64E-05,5.51E-05,7.89E-05,0.000121726,4.78E-05,7.83E-05,6.66E-05,0.000801745
0.000144928,0.00030746,0.000236629,0.000270953,0.000161788,0.000404238,0.000148594,0.000182839,9.52E-05,0.000117226,0.000102195,0.00100554,0.000436255,0.000232075,0.000263349,0.000207888,0.000127807,0.000311813,0.000312073,0.000142654,0.00014894,0.000230927,0.000311662,0.000170862,0.000289647,0.000467424,7.81E-05,0.000207522,0.000299293,9.94E-05
0.000104786,0.000252527,0.000136972,0.00714045,0.0174064,0.000300609,0.00703002,0.0236739,6.12E-05,0.0203145,0.00359264,0.000436255,0.0603659,0.000180782,0.00372769,0.00707165,4.00E-05,0.000649398,0.00716056,9.23E-05,0.000138992,0.000197105,0.000229944,0.000119081,0.000197322,0.000753814,4.89E-05,0.000186803,0.000219533,0.0114442
9.54E-05,0.000201022,0.000147259,0.000185564,0.000110198,0.000209635,0.000134451,0.000137025,5.53E-05,0.000104596,7.67E-05,0.000232075,0.000180782,0.00090531,0.000152098,0.000123599,7.70E-05,0.000174542,0.000189046,0.00013286,0.000125629,0.000129292,0.000157466,9.98E-05,0.00016642,0.000171977,5.93E-05,0.000104234,0.00017054,6.78E-05
0.000101381,0.00023665,0.000146036,0.000669788,0.00122227,0.000240416,0.00064766,0.00159675,6.83E-05,0.00137045,0.000340908,0.000263349,0.00372769,0.000152098,0.000639832,0.000635845,6.53E-05,0.00020222,0.000696296,0.000103481,0.000100456,0.000163333,0.000239459,0.000114222,0.000163511,0.000263876,6.29E-05,0.00015268,0.000216507,0.000822388
